食物名稱,修正熱量(kcal/100mg),推估單位熱量1(kcal),1備註,推估單位熱量2(kcal),2備註,推估單位熱量3(kcal),3備註
bawan,135,350,油炸,110,清蒸,,
beef_noodles,125,870,紅燒,630,牛肉湯麵,810,清燉
beef_soup,50,128,一碗,,,,
braised_pork_over_rice,175,450,瘦肉,650,肥肉,,
brown_sugar_cake,250,130,巴掌大小,,,,
bubble_tea,150,600,大杯微糖,550,大杯無糖,350,小杯無糖
caozaiguo,250,336,甜餡,282,鹹餡,,
coffin_toast,261,600,一份,,,,
cold_noodles,250,440,麻醬涼麵,228,蕎麥涼麵,90,蒟蒻涼麵
deep-fried_chicken_cutlets,380,630,一張,,,,
egg_pancake_roll,300,263,原味,281,起士,417,鮪魚
fried_eel_noodles,300,760,一碗,,,,
fried_instant_noodles,250,607,一盤,,,,
grilled_corn,140,350,一根,,,,
grilled_taiwanese_sausage,360,177,台式香腸,130,熱狗,,
hung_rui_chen_sandwich,271,357,招牌火腿,323,草莓/藍莓起司,375,原味起司
kung-pao_chicken,305,720,一盤,,,,
mochi,325,118,芝麻,100,紅豆,114,花生
mung_bean_smoothie_milk,90,514,加牛奶,452,加珍珠和牛奶,520,沒加料
nougat,470,75,一顆,,,,
oyster_fritter,320,225,一張,,,,
oyster_omelet,191,516,一份,,,,
pepper_pork_bun,344,333,一顆,,,,
pineapple_cake,481,199,一顆,,,,
potsticker,235,63.5,原味韭菜,42.9,蔬菜,,
preserved_egg_tofu,112,250,一顆皮蛋,,,,
rice_dumpling,234,550,肉粽,330,豆沙粽,160,鹼粽
rice_with_soy-stewed_pork,328,510,一碗,,,,
roasted_sweet_potato,155,228,紅肉 ,280,金時地瓜,240,黃肉 
sanxia_golden_croissants,448,406,原味,,,,
scallion_pancake,300,400,一張,,,,
sesame_oil_chicken_soup,52.2,265,一碗,,,,
shrimp_rice,250,450,一碗不含蛋,,,,
sishen_soup,58,220,一碗,,,,
sliced_pork_bun,386,500,控肉,,,,
spicy_duck_blood,64.8,231,一碗,,,,
stewed_pig_s_knuckles,237,2397,一鍋,,,,
stinky_tofu,179,550,油炸,330,清蒸,,
sun_cake,459,464,一顆,,,,
sweet_and_sour_pork_ribs,77.2,247,一盤,,,,
taiwanese_sausage_in_rice_bun,210,582,一份,,,,
three-cup_chicken,220.7,650,一份,,,,
tube-shaped_migao,244,515,一份,,,,
turkey_rice,192,346,火雞肉飯,465,雞肉飯,,
turnip_cake,109,355,兩片,,,,
twist_roll,560,157,一根,,,,
wheel_pie,174,265,奶油,240,紅豆,185,菜埔
xiaolongbao,239,55,一顆,,,,
yolk_pastry,457,199,一顆,,,,
,,,,,,,
